学会名,URL,開催日,開催地
日本成人病(生活習慣病)学会学術集会（第58回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2501002.html,2025.01.11（土）-12（日）,東京都千代田区
日本性差医学・医療学会学術集会（第18回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2501007.html,2025.01.12（日）-13（月祝）,熊本市中央区
日本病態栄養学会年次学術集会（第28回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2501004.html,2025.01.17（金）-19（日）,京都市左京区
糖尿病学の進歩（第59回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502015.html,2025.01.24（金）-25（土）,那覇市
JCRミッドウィンターセミナー（第38回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2501006.html,2025.01.25（土）-26（日）,熊本市中央区
日本糖尿病眼学会総会（第31回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506033.html,2025.01.25（土）-26（日）,那覇市
大腸癌研究会学術集会（第102回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507018.html,2025.01.30（木）-31（金）,別府市
日本行動医学会学術総会【第26回日本子ども健康科学会学術大会と合同開催】（第31回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2412003.html,2025.02.01（土）-2（日）,東京都文京区
日本脳神経外科救急学会（第30回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502017.html,2025.02.06（木）-7（金）,東京都千代田区
日本脊椎前方側方進入手術学会（第11回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502021.html,2025.02.08（土）,東京都港区
動脈硬化教育フォーラム（第25回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502020.html,2025.02.09（日）,仙台市青葉区
日本疫学会学術総会（第35回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2501001.html,2025.02.12（水）-14（金）,高知市
日本栄養治療学会学術集会（第40回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502018.html,2025.02.14（金）-15（土）,横浜市西区
日本心臓血管外科学会学術総会（第55回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502011.html,2025.02.20（木）-22（土）,下関市、北九州市
日本痛風・尿酸核酸学会総会（第58回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502014.html,2025.02.20（木）-21（金）,東京都墨田区
日本消化管学会総会学術集会【GI Week 2025として、The 18th IGICS、第52回日本潰瘍学会、第18回日本カプセル内視鏡学会学術集会、第23回日本消化管学会教育講演会と合同開催】（第21回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502008.html,2025.02.21（金）-22（土）,東京都新宿区
日本神経放射線学会（第54回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502009.html,2025.02.21（金）-22（土）,京都市東山区
