Article番号,タイトル,リリース日,Tag,URL
6124,北海道・東北・北信・九州がんプロ4拠点連携シンポジウム開催のお知らせ（1/16開催）,2025年12月10日,イベント,https://www.med.tohoku.ac.jp/6124/
6123,留学生向け交流イベントを開催しました,2025年12月09日,ニュース,https://www.med.tohoku.ac.jp/6123/
6122,ノーザン・ブリティッシュ・コロンビア大学との学術交流協定調印式を執り行いました,2025年12月08日,ニュース,https://www.med.tohoku.ac.jp/6122/
6121,タイトルなし,,ニュース,https://www.med.tohoku.ac.jp/6121/
6120,糖尿病代謝・内分泌内科学分野の片桐 秀樹教授、今井 淳太准教授が第62回「ベルツ賞」の1等賞を受賞しました,2025年12月02日,受賞・表彰,https://www.med.tohoku.ac.jp/6120/
6119,タイトルなし,,受賞・表彰,https://www.med.tohoku.ac.jp/6119/
6118,東北医学会セミナー開催のお知らせ（1/9開催）,2025年12月01日,イベント,https://www.med.tohoku.ac.jp/6118/
6117,【12/2放送予定】NHK総合「未来予測反省会」に医療倫理学分野 浅井 篤教授が出演します,2025年11月27日,ニュース,https://www.med.tohoku.ac.jp/6117/
6093,東北大学病院 総合外科 医局秘書の募集,2025年11月27日,採用情報,https://www.med.tohoku.ac.jp/6093/
6116,地域がん医療推進センター 事務補佐員の募集,2025年11月26日,採用情報,https://www.med.tohoku.ac.jp/6116/
